,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
12575,35147314.0,Hotel Royalty Barra - OCEAN MASTER,261596112,Royalty Barra,Unknown,Barra da Tijuca,-23.01374,-43.30627,Private room,5000,1,0,No_reviews,0.0,5,365,0,Unknown
12576,35147321.0,Hotel Royalty Barra - APARTAMENTO TRIPLO,261596112,Royalty Barra,Unknown,Barra da Tijuca,-23.01558,-43.30798,Private room,5000,1,0,No_reviews,0.0,5,365,0,Unknown
12577,35147330.0,Hotel Royalty Barra - APARTAMENTO QUADRUPLO,261596112,Royalty Barra,Unknown,Barra da Tijuca,-23.01455,-43.30623,Private room,5000,1,0,No_reviews,0.0,5,365,0,Unknown
12584,35164244.0,"Local acolhedor, pitoresco e arborizado",123079540,Monica,Unknown,Grajaú,-22.9215,-43.26762,Private room,150,1,0,No_reviews,0.0,1,178,0,Unknown
12588,35711853.0,Acolhedor,220529826,Samia Valença,Unknown,Barra da Tijuca,-23.0052,-43.32282,Private room,150,7,0,No_reviews,0.0,3,352,0,Unknown
12589,35712096.0,Encantador,220529826,Samia Valença,Unknown,Barra da Tijuca,-23.00666,-43.32075,Private room,150,10,0,No_reviews,0.0,3,352,0,Unknown
12594,34835518.0,Localizado a 10min do centro. Bem próximo ao metrô,262617622,Dandara,Unknown,Praça da Bandeira,-22.90864,-43.21835,Private room,350,1,0,No_reviews,0.0,1,89,0,Unknown
12596,34838082.0,Lar do Aconchego Suite,248739218,Maria,Unknown,Brás de Pina,-22.8369,-43.29887,Private room,150,3,8,06/11/2019,0.22,4,174,0,Unknown
12598,34840805.0,Rio Glamping,51223474,Fabio,Unknown,Botafogo,-22.95887,-43.18292,Private room,350,2,1,26/02/2020,0.04,1,180,0,Unknown
12605,34903583.0,Suite ampla para 3 pessoas próximo à praia,58586870,Mallu,Unknown,Barra da Tijuca,-23.00526,-43.32395,Private room,351,2,0,No_reviews,0.0,1,365,0,Unknown
12606,35764541.0,Agradável quarto em apartamento no Jardim Botânico,269044189,Teresa,Unknown,Jardim Botânico,-22.95936,-43.20805,Private room,140,1,12,09/03/2020,0.33,1,8,0,Unknown
12614,35843341.0,Quarto inteiro com banheiro privativo no Recreio.,26922360,Carla,Unknown,Recreio dos Bandeirantes,-23.00458,-43.48158,Private room,643,1,1,07/10/2019,0.03,2,362,0,Unknown
12616,35873987.0,smooth 3 beds at Posto 6 Copacabana,454863,Dary,Unknown,Copacabana,-22.98206,-43.19205,Private room,217,3,2,23/02/2020,0.07,2,330,0,Unknown
